VendorNumber,VendorName,Brand,description,ActualPrice,PurchasePrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,TotalFreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,36.99,26.27,1750,145080,3811251.60,5101919.51,672819.31,142049,260999.2,68601.68,1290667.91,25.30,0.98,1.34
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,28.99,23.19,1750,164038,3804041.22,4819073.49,561512.37,160247,294438.66,144929.24,1015032.27,21.06,0.98,1.27
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,24.99,18.24,1750,187407,3418303.68,4538120.6,461140.15,187140,343854.07,123780.22,1119816.92,24.68,1.00,1.33
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,22.99,16.17,1750,201682,3261197.94,4475972.88,420050.01,200412,368242.8,257032.07,1214774.94,27.14,0.99,1.37
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,29.99,21.89,1750,138109,3023206.01,4223107.62,545778.28,135838,249587.83,257032.07,1199901.61,28.41,0.98,1.40
480,BACARDI USA INC,3858,Grey Goose Vodka,23.99,17.77,750,138809,2466635.93,3383912.4,446932.09,141860,111699.19,89286.27,917276.47,27.11,1.02,1.37
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,39.99,30.76,1750,70783,2177285.08,2773367.73,614529.34,69627,127931.67,123780.22,596082.65,21.49,0.98,1.27
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,17.99,12.94,1750,161386,2088334.84,2592041.35,292586.29,148265,272422.6,257032.07,503706.51,19.43,0.92,1.24
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,27.99,20.73,1750,91835,1903739.55,2640491.19,503661.02,90481,166244.44,257032.07,736751.64,27.90,0.99,1.39
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,21.99,16.29,1750,108866,1773427.14,2435393.39,426902.78,107061,196707.35,123880.97,661966.25,27.18,0.98,1.37
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,22.99,16.42,750,93205,1530426.10,2148965.53,436011.64,91247,71840.57,123780.22,618539.43,28.78,0.98,1.40
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,29.99,22.38,1750,66942,1498161.96,1840615.67,442856.2,61433,112875.19,257032.07,342453.71,18.61,0.92,1.23
480,BACARDI USA INC,2663,Dewars White Label,29.99,21.42,1750,69001,1478001.42,2189368.78,495957.83,70122,128839.08,89286.27,711367.36,32.49,1.02,1.48
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,10.99,6.77,750,215668,1460072.36,2326007.78,189608.96,214238,24083.77,17587.59,865935.42,37.23,0.99,1.59
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,48.99,33.81,750,42951,1452173.31,2009508.61,662320.04,41639,32783.09,68054.7,557335.3,27.73,0.97,1.38
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,59.99,44.77,1750,31596,1414552.92,1739044.28,507291.43,28372,52133.72,257032.07,324491.36,18.66,0.90,1.23
17035,PERNOD RICARD USA,5364,Kahlua,29.99,23.07,1750,60645,1399080.15,1844950.29,504735.06,59771,109817.07,123780.22,445870.14,24.17,0.99,1.32
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,33.99,21.73,1750,64249,1396130.77,2068091.16,494487.65,65184,119767.49,257032.07,671960.39,32.49,1.01,1.48
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,39.99,28.88,1750,47546,1373128.48,1884307.34,596574.93,47966,88129.8,257032.07,511178.86,27.13,1.01,1.37
